timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710230125485,1927,S01_JMT_T06_STEP02_PlaceAnOrder,200,OK,Thread Group 1-2,text,true,,13039,811,5,5,http://localhost/checkout,1927,0,0
1710230127417,20,S01_JMT_T06_STEP03_SelectACountry,200,OK,Thread Group 1-2,text,true,,1035,646,5,5,http://localhost/wp-admin/admin-ajax.php,20,0,0
1710230128784,71,S01_JMT_T03_SelectATable,200,OK,Thread Group 1-5,text,true,,9779,563,5,5,http://localhost/products/living-room-table8,70,0,3
1710230128858,27,S01_JMT_T04_AddTableToCart,200,OK,Thread Group 1-5,text,true,,722,743,5,5,http://localhost/wp-admin/admin-ajax.php,27,0,0
1710230128888,52,S01_JMT_T01_LaunchApplication,200,OK,Thread Group 1-5,text,true,,11198,343,5,5,http://localhost/,52,0,0
1710230128942,46,S01_JMT_T02_NavigateToTables,200,OK,Thread Group 1-5,text,true,,10099,536,5,5,http://localhost/tables,45,0,0
1710230131321,62,S01_JMT_T05_STEP02_SelectAChair,200,OK,Thread Group 1-1,text,true,,9797,558,5,5,http://localhost/products/modern-chair2,61,0,5
1710230131387,42,S01_JMT_T05_STEP03_AddChairToCart,200,OK,Thread Group 1-1,text,true,,722,758,5,5,http://localhost/wp-admin/admin-ajax.php,42,0,0
1710230133838,58,S01_JMT_T03_SelectATable,200,OK,Thread Group 1-4,text,true,,9809,563,5,5,http://localhost/products/living-room-table8,57,0,3
1710230133898,31,S01_JMT_T04_AddTableToCart,200,OK,Thread Group 1-4,text,true,,722,743,5,5,http://localhost/wp-admin/admin-ajax.php,31,0,0
1710230135053,55,S01_JMT_T06_STEP01_OpenCart,200,OK,Thread Group 1-1,text,true,,8830,556,5,5,http://localhost/cart,54,0,0
1710230135110,43,S01_JMT_T06_STEP02_PlaceAnOrder,200,OK,Thread Group 1-1,text,true,,13038,811,5,5,http://localhost/checkout,42,0,0
1710230135156,22,S01_JMT_T06_STEP03_SelectACountry,200,OK,Thread Group 1-1,text,true,,1035,646,5,5,http://localhost/wp-admin/admin-ajax.php,22,0,0
1710230135181,60,S01_JMT_T03_SelectATable,200,OK,Thread Group 1-5,text,true,,9717,563,5,5,http://localhost/products/living-room-table8,59,0,2
1710230135243,32,S01_JMT_T04_AddTableToCart,200,OK,Thread Group 1-5,text,true,,722,743,5,5,http://localhost/wp-admin/admin-ajax.php,32,0,0
1710230135276,60,S01_JMT_T05_STEP01_NavigateToChairs,200,OK,Thread Group 1-5,text,true,,9483,563,5,5,http://localhost/chairs,59,0,0
1710230135676,66,S01_JMT_T03_SelectATable,200,OK,Thread Group 1-3,text,true,,9851,563,5,5,http://localhost/products/living-room-table8,65,0,3
1710230135744,31,S01_JMT_T04_AddTableToCart,200,OK,Thread Group 1-3,text,true,,722,743,5,5,http://localhost/wp-admin/admin-ajax.php,31,0,0
1710230135776,58,S01_JMT_T05_STEP01_NavigateToChairs,200,OK,Thread Group 1-3,text,true,,9483,563,5,5,http://localhost/chairs,57,0,0
1710230137899,48,S01_JMT_T06_STEP01_OpenCart,200,OK,Thread Group 1-4,text,true,,8761,556,5,5,http://localhost/cart,47,0,0
1710230137949,37,S01_JMT_T06_STEP02_PlaceAnOrder,200,OK,Thread Group 1-4,text,true,,12986,935,5,5,http://localhost/checkout,36,0,0
1710230137987,21,S01_JMT_T06_STEP03_SelectACountry,200,OK,Thread Group 1-4,text,true,,1035,646,5,5,http://localhost/wp-admin/admin-ajax.php,20,0,0
1710230143008,62,S01_JMT_T05_STEP02_SelectAChair,200,OK,Thread Group 1-5,text,true,,9906,558,5,5,http://localhost/products/modern-chair2,61,0,3
1710230143072,41,S01_JMT_T05_STEP03_AddChairToCart,200,OK,Thread Group 1-5,text,true,,722,758,5,5,http://localhost/wp-admin/admin-ajax.php,41,0,0
1710230143117,78,S01_JMT_T01_LaunchApplication,200,OK,Thread Group 1-5,text,true,,11198,343,5,5,http://localhost/,77,0,0
1710230143196,56,S01_JMT_T02_NavigateToTables,200,OK,Thread Group 1-5,text,true,,10099,536,5,5,http://localhost/tables,55,0,0
1710230144387,55,S01_JMT_T05_STEP02_SelectAChair,200,OK,Thread Group 1-3,text,true,,9886,558,5,5,http://localhost/products/modern-chair2,54,0,2
1710230144444,34,S01_JMT_T05_STEP03_AddChairToCart,200,OK,Thread Group 1-3,text,true,,722,758,5,5,http://localhost/wp-admin/admin-ajax.php,34,0,0
1710230144481,73,S01_JMT_T01_LaunchApplication,200,OK,Thread Group 1-3,text,true,,11198,343,5,5,http://localhost/,73,0,0
1710230144556,53,S01_JMT_T02_NavigateToTables,200,OK,Thread Group 1-3,text,true,,10099,536,5,5,http://localhost/tables,52,0,0
1710230148925,68,S01_JMT_T03_SelectATable,200,OK,Thread Group 1-5,text,true,,9708,563,5,5,http://localhost/products/living-room-table8,67,0,4
1710230148995,28,S01_JMT_T04_AddTableToCart,200,OK,Thread Group 1-5,text,true,,722,743,5,5,http://localhost/wp-admin/admin-ajax.php,28,0,0
1710230149026,60,S01_JMT_T01_LaunchApplication,200,OK,Thread Group 1-5,text,true,,11198,343,5,5,http://localhost/,60,0,0
1710230149087,44,S01_JMT_T02_NavigateToTables,200,OK,Thread Group 1-5,text,true,,10099,536,5,5,http://localhost/tables,44,0,0
1710230149982,166,S01_JMT_T06_STEP04_EnterDetailsAndPlaceOrder,200,OK,Thread Group 1-2,text,true,,8619,4653,5,5,http://localhost/thank-you,134,0,43
1710230150152,71,S01_JMT_T01_LaunchApplication,200,OK,Thread Group 1-2,text,true,,11198,343,5,5,http://localhost/,70,0,0
